,pharma_cid,total,attended,lost
0,companyf3422faa-bedd-11ec-b231-c70d38df568b,0,0,0
1,company19da15a7-9dd5-11ec-9c18-99b7e30929d2,0,0,0
2,companyba4ceb7e-b639-11ec-8b7f-2551edcf1f1e,0,0,0
3,company56ac1afe-35af-11ec-834a-d3357519ebee,0,0,0
4,company113578b3-94b3-11ec-b8a8-67baad4f0f37,0,0,0
5,company2876181a-7912-11ec-bc3e-73c8cf38c52d,0,0,0
6,company469adc0f-c7bf-11ec-9962-97d36d49cfc2,0,0,0
7,companyef694843-9c83-11ec-8b26-af1b29b1bfce,0,0,0
8,company97f7a0e3-9928-11ec-bbf5-2d5b1c31adc8,0,0,0
9,company2b1294af-aa97-11ec-b811-5d659f6c7515,0,0,0
10,company56aeec2a-8bcb-11ec-8f15-1fb1dae3cbcd,0,0,0
11,company0372f01f-9d5e-11ec-8720-5bbac65d2b29,0,0,0
12,companycc8576ea-9b9c-11ec-976e-0ddcedd981e9,0,0,0
13,company5aaa9e6d-b7d8-11ec-9717-1d984f8c35ed,0,0,0
14,companya1549b67-9a21-11ec-b5ef-7d1f9eb36760,0,0,0
15,company7f4c215a-af2a-11ec-bfa6-d9f3b9cac8ef,0,0,0
16,company75a75434-9891-11ec-a7ce-17e5afadae7d,0,0,0
17,company3addae01-908e-11ec-8bb2-e92d0fceb914,0,0,0
18,company4a2660ef-c13c-11ec-abbf-d311e4f4cc23,1,0,500
19,company70c30d41-3c7b-11ec-8705-2fba5c5011fb,0,0,0
20,company6ca7d2a9-914f-11ec-959a-83b07d7cf115,0,0,0
21,company883317c3-8e1c-11ec-91bf-b935fa19db05,0,0,0
22,companyeac1caab-b661-11ec-93ff-ada84a24b2f8,0,0,0
23,companyebe38e19-affd-11ec-88cd-0b05ee2ddd91,0,0,0
24,company6512bf03-bb25-11ec-845e-f56f33910dd1,0,0,0
25,companyc9545724-6006-11ec-b930-8f752715fa92,0,0,0
26,companycd72c07d-6300-11ec-9dd0-a3c1ca574d0c,0,0,0
27,companye3039dfd-6aed-11ec-a8d3-9b73092aa40a,0,0,0
28,companyc67ddd60-6e06-11ec-8ab4-219c2d594183,0,0,0
29,company3d1b3800-333d-11ec-891a-6dc89a2b47a2,0,0,0
30,company194e446a-b3e7-11ec-87f4-b159ebd39905,0,0,0
31,company32f633ae-bf1d-11ec-9a12-7df1af6fb041,0,0,0
32,companyf42b1f86-b41c-11ec-8377-ed3a64794c72,0,0,0
33,companydf0c7e1e-a3a5-11ec-804f-b7fe7fbb40ac,0,0,0
34,company7333005b-bfdc-11ec-8757-55a4e29b4142,0,0,0
35,companyefaa4600-caf1-11ec-aaaf-73863193231c,0,0,0
36,company515eb73a-b256-11ec-bf78-194a1a92439a,1,0,500
37,companyc4aaae97-bf07-11ec-a4ba-b39fe23c6561,0,0,0
38,company10ecc6c9-67a0-11ec-b591-015172dae2a5,0,0,0
39,companyf4487d15-ae65-11ec-8001-7d96e678abf7,0,0,0
40,companyef869f6f-9181-11ec-8b24-83cde6ceba54,0,0,0
41,company7c63105c-ac26-11ec-8249-adddefa5c9f4,0,0,0
42,company22a85900-8594-11ec-83be-7b09182b3bc9,0,0,0
43,company339cf930-85ce-11ec-b478-9bdf1c515d3d,0,0,0
44,company69adc70b-c61a-11ec-814d-e74aaeca740c,0,0,0
45,company3ba33d69-9a04-11ec-bc50-939ddad4985c,0,0,0
46,companyd24493d8-a76c-11ec-82f3-251c4d6c7c1b,0,0,0
47,company45623c09-a5af-11ec-9e1f-c3975f1b2918,0,0,0
48,company52826b2d-51e6-11ec-9c8b-29da28e59093,0,0,0
49,companyf42b1f86-b41c-11ec-8377-ed3a64794c72,0,0,0
50,companyd14148b1-6623-11ec-aad3-e3716c714375,1,0,500
51,company86cdec36-a38b-11ec-9c8b-15c3d2eb4892,0,0,0
52,companybefe8a67-88a9-11ec-9a90-ab96886c9075,0,0,0
53,company0829cc4d-7ea2-11ec-a35c-8bc825f4dcb0,0,0,0
54,companyea22f957-c2ea-11ec-850a-cf867ba9f5d7,0,0,0
55,company7a87abd6-661d-11ec-9912-e5e5202974e0,1,0,500
56,company05f93fcd-d2b6-11ec-b7c4-81256397b5af,0,0,0
57,company208db2e8-b96b-11ec-a47a-478b5cd9104e,0,0,0
58,company5acc0b22-6d3b-11ec-aa26-0f07f3140bda,0,0,0
59,company6169e5c0-b1a6-11ec-9ee7-c97c7031330d,0,0,0
60,company9bf90a47-b4b7-11ec-ab23-598296366cd4,0,0,0
61,company06772959-7f6c-11ec-92b5-1133d03d58d5,1,0,500
62,company9c3da2bd-b038-11ec-b085-557ef01aec15,0,0,0
63,companyace09290-c309-11ec-a0a7-ef077dd2a7af,0,0,0
64,companyb4092061-c230-11ec-bcf7-633217835961,1,0,500
65,company3ca43b65-8a45-11ec-a6df-878046f1399c,0,0,0
66,company151c9bbc-c55b-11ec-9d1c-575e8246e212,0,0,0
67,companycba4075c-a42b-11ec-b09a-3b2cf7fe2367,0,0,0
68,company4da3c33a-c237-11ec-9f2f-71756485a60f,0,0,0
69,company56ac1afe-35af-11ec-834a-d3357519ebee,0,0,0
70,company59b0b18a-c86a-11ec-a486-a1571b7260f1,1,0,500
71,company611e7831-9963-11ec-bdcf-cd27c25020dc,0,0,0
72,companyb2abb974-6326-11ec-8803-af7ad8662aa7,0,0,0
73,company98b836c9-63ff-11ec-9966-6fac722e0391,0,0,0
74,companye3b14c8b-bb2c-11ec-9faf-f56f33910dd1,0,0,0
75,companye09df356-66f3-11ec-922a-efce62bd9380,0,0,0
76,companyb77216f6-6a1a-11ec-bf00-55c575f451f3,0,0,0
77,company4005d8f6-af3b-11ec-a13b-6d3a03bf1ee8,0,0,0
78,company008ed9bf-ad00-11ec-931e-c5fd39da12cd,1,0,500
79,company35f794f2-686b-11ec-adcc-cb4398d1f1f4,0,0,0
80,companya3a1a571-af34-11ec-af8a-27c7a878a530,0,0,0
81,company1f3bf9fb-9c8b-11ec-9259-3138dc77e2f2,0,0,0
82,companyf2b2f07e-9df0-11ec-9e39-ff4db0f32949,0,0,0
83,company573eb9b0-b97b-11ec-b02b-3d54ee9bfd44,0,0,0
84,companye3039dfd-6aed-11ec-a8d3-9b73092aa40a,0,0,0
85,companyee79dbc9-8b10-11ec-8165-6fabf8f61390,0,0,0
86,company2efb076b-9943-11ec-8579-67ca0212ae86,0,0,0
87,company86c3da0a-b022-11ec-844b-69ba0ec434a0,1,0,500
88,companyb3bcb664-a38f-11ec-b0aa-d3ca1eaed4d6,0,0,0
89,companydbac71de-88ba-11ec-88ce-d995e993d3f9,0,0,0
90,company5ba58e48-79da-11ec-bf7b-6d0d2c902f21,0,0,0
91,company84edadc5-95fc-11ec-8a55-412c73493800,0,0,0
92,company3be2fede-bf25-11ec-ac55-dba8e23463f1,0,0,0
93,company66729416-b989-11ec-b1b7-c5ac4d34a63d,0,0,0
94,company615b657d-c6d1-11ec-a71f-5766eda159a0,0,0,0
95,company167ecb44-ac45-11ec-947e-03c1963a1c1f,0,0,0
96,company56fa35a0-ab5f-11ec-af8a-c73b136215c4,0,0,0
97,company2f98ae04-af3d-11ec-be1f-6d3a03bf1ee8,0,0,0
98,company7d48acfc-80fe-11ec-9fa3-03ecafc657fd,0,0,0
99,company4514e768-c901-11ec-9097-618d81fc795a,0,0,0
100,company6e5b9947-ab53-11ec-92dd-d71d94f97e8f,0,0,0
101,company46c0b569-43b5-11ec-aa7a-4f2e1996897a,0,0,0
102,company84297fbf-663c-11ec-b43f-77fa8a02b2ce,0,0,0
103,companyf902e8f0-c568-11ec-94ca-15d4c0cd1bdf,0,0,0
104,company78bf7c50-663c-11ec-9e7f-77fa8a02b2ce,0,0,0
105,company0f4100dc-c77e-11ec-aeaa-9bb0c3b61772,0,0,0
106,companyb326a6b1-ac27-11ec-bc66-adddefa5c9f4,0,0,0
107,company370f4142-bc92-11ec-9edd-6dc3d5094f7b,0,0,0
108,companyd869acd7-a0f8-11ec-b336-25e9b3141bba,0,0,0
109,company0416f615-4924-11ec-889e-0128ea28ebda,0,0,0
110,company420fc4f0-9ac5-11ec-a43f-099f0c070c5a,0,0,0
111,company6e68eddf-aff8-11ec-a831-0b05ee2ddd91,0,0,0
112,companybe0944e9-c7c5-11ec-9ba2-6199a8ce2b5a,1,0,500
113,companyd67c74d7-a67e-11ec-9413-fd081782a1f5,0,0,0
114,companyde07e195-36f2-11ec-b2d9-99d4e1280722,1,1,0
115,company38f932bf-ad19-11ec-89db-b7a9b2a906be,0,0,0
116,company56ac1afe-35af-11ec-834a-d3357519ebee,0,0,0
117,companyc3052e4a-b1b2-11ec-adad-bd7833bf0f02,0,0,0
118,company00edf0d6-b669-11ec-8ec8-a346f3bffde3,0,0,0
119,companyb508f9af-c300-11ec-8057-1557f4b4bd6d,0,0,0
120,companydb39cbdb-befd-11ec-a334-e13b50e5aba2,0,0,0
121,companydf02987a-694e-11ec-ae14-b9ad48594b63,0,0,0
122,company18b55d14-ac04-11ec-95c3-632008154a6c,0,0,0
123,companyb9c9b65b-93e3-11ec-a53d-35dba17a4044,0,0,0
124,company5b1bf78a-c62b-11ec-b245-79bdc4785bc7,0,0,0
125,company376bc113-8500-11ec-9b9a-97d196d57e46,0,0,0
126,company723eeb5d-4064-11ec-ab38-1ba00a9b21a9,1,1,0
127,companyf585a7e1-b198-11ec-ad0c-85b4d623b70a,0,0,0
128,companyf0d33781-ac16-11ec-9871-819a8c4fe8d6,0,0,0
129,company87b69819-649e-11ec-b6f1-2dd1d7a8629b,0,0,0
130,company12fb8ee8-8bf0-11ec-b01e-b1c044d51475,0,0,0
131,companycc316031-9a24-11ec-8f26-c90a20014fed,0,0,0
132,companyefaa4600-caf1-11ec-aaaf-73863193231c,0,0,0
133,companycfff3138-b96e-11ec-a595-bdd0cb76721c,0,0,0
134,company2876181a-7912-11ec-bc3e-73c8cf38c52d,0,0,0
135,companydbcc18a5-9c51-11ec-8c09-05489a2220d6,0,0,0
136,companyb1dd225e-b003-11ec-96d9-574cf85ac0c9,0,0,0
137,company5041ea57-9df6-11ec-b023-6de395e5d6a8,0,0,0
138,company887b4f0e-79fe-11ec-9331-fd8ee810f968,1,0,500
139,companye327c3e6-af35-11ec-a851-27c7a878a530,0,0,0
140,companyd28fce5f-ad08-11ec-bce7-ad854c683ebe,1,0,500
141,company7bc2d334-abfc-11ec-8ac7-f9d050e6c89b,0,0,0
142,company62ddf193-ae6e-11ec-a1e5-7dd889005217,0,0,0
143,company78a057b4-3c82-11ec-b053-19a2021348ee,0,0,0
144,companycac40c68-92e6-11ec-95d4-253ec290963e,0,0,0
145,company6a3bfddf-9ac1-11ec-a9ad-f53751fec666,0,0,0
146,company26361dbe-bfa2-11ec-a039-4d7ec86167e3,0,0,0
147,companyd009a5e6-6185-11ec-8d10-a53ec211cc70,0,0,0
148,companye5b1b094-b587-11ec-bce1-f59f175f83d5,0,0,0
149,companyee79dbc9-8b10-11ec-8165-6fabf8f61390,0,0,0
150,company948936d9-b976-11ec-af25-bfb7ca8191b4,0,0,0
151,companyff801609-9eb5-11ec-84c4-ff26b78195fb,0,0,0
152,companyc0407d0e-125d-11ec-830d-c51d13bcf020,0,0,0
153,company3be2fede-bf25-11ec-ac55-dba8e23463f1,0,0,0
154,companyc4b88eab-a03c-11ec-973b-f90f3beb9754,0,0,0
155,company4e5f022a-cac6-11ec-862d-09243a85c2af,0,0,0
156,companyb437a7e9-9dd2-11ec-a3f6-3784bf164e86,1,0,500
157,company7333005b-bfdc-11ec-8757-55a4e29b4142,0,0,0
158,companybb644d22-c2e1-11ec-af40-958248ffc7db,0,0,0
159,companya3bdebc5-9c3e-11ec-a91c-dd771c14ed6f,1,0,500
160,companya69b47ff-a079-11ec-b20e-797a5659175c,1,0,500
161,company95382c16-baeb-11ec-b5a2-01f9f8568450,1,0,500
162,company337fba2d-9a26-11ec-b416-c90a20014fed,0,0,0
163,company7fb044f1-b195-11ec-99f4-21d02021c2c0,0,0,0
164,company26cc99e2-b4bc-11ec-8719-598296366cd4,0,0,0
165,company5ba58e48-79da-11ec-bf7b-6d0d2c902f21,0,0,0
166,company2be21688-4dce-11ec-acdf-d525eb78600c,0,0,0
167,company7a4ddcfb-6334-11ec-88e2-35ae3fc9a7b7,1,0,500
168,company35c02b0a-b0cd-11ec-9064-cbcd5e525683,0,0,0
169,company536e66fc-c302-11ec-bd2c-bd36c536130f,0,0,0
170,company2f98ae04-af3d-11ec-be1f-6d3a03bf1ee8,0,0,0
171,company31884ade-a2a9-11ec-8d44-c16dc477d49f,0,0,0
172,company10511d53-8fc2-11ec-afa4-2f8894e53f74,0,0,0
173,companyc0116b8a-2c08-11ec-992d-c33cab73b63c,0,0,0
174,companyd4c848c6-953b-11ec-b6d5-5522939c5882,0,0,0
175,companyb08e477d-b635-11ec-976c-e398e993a180,0,0,0
176,company0e014ca6-88e9-11ec-acc5-05cd23c61f99,0,0,0
